id	target_genre_id	rank	movie_id	score
05_18	5	18	1073	119
05_19	5	19	1527	116
05_20	5	20	1968	113
06_01	6	1	318	317
06_02	6	2	296	307
06_03	6	3	593	279
06_04	6	4	2959	218
06_05	6	5	50	204
06_06	6	6	858	192
06_07	6	7	608	181
06_08	6	8	58559	149
06_09	6	9	1036	145
06_10	6	10	165	144
06_11	6	11	79132	143
06_12	6	12	293	133
06_13	6	13	1089	131
06_14	6	14	6874	131
06_15	6	15	1221	129
06_16	6	16	2329	129
06_17	6	17	1213	126
06_18	6	18	1206	120
06_19	6	19	5445	120
06_20	6	20	4963	119
07_01	7	1	5669	58
07_02	7	2	8464	50
08_01	8	1	356	329
08_02	8	2	318	317
08_03	8	3	296	307
08_04	8	4	110	237
08_05	8	5	527	220
08_06	8	6	2959	218
08_07	8	7	2858	204
08_08	8	8	150	201
08_09	8	9	858	192
08_10	8	10	2028	188
08_11	8	11	7153	185
08_12	8	12	608	181
08_13	8	13	2762	179
08_14	8	14	364	172
08_15	8	15	3578	170
08_16	8	16	590	164
08_17	8	17	58559	149
08_18	8	18	79132	143
08_19	8	19	1704	141
08_20	8	20	293	133
09_01	9	1	1	215
09_02	9	2	4993	198
09_03	9	3	5952	188
09_04	9	4	7153	185
09_05	9	5	4306	170
09_06	9	6	6539	149
09_07	9	7	595	146
09_08	9	8	1265	143
09_09	9	9	1197	142
09_10	9	10	1136	136
09_11	9	11	4886	132
09_12	9	12	1073	119
09_13	9	13	2115	108
09_14	9	14	4896	107
09_15	9	15	5816	102
09_16	9	16	2997	99
09_17	9	17	2987	97
09_18	9	18	3114	97
09_19	9	19	551	93
09_20	9	20	8368	93
10_01	10	1	1617	97
10_02	10	2	32587	84
10_03	10	3	1252	59
10_04	10	4	4848	51
11_01	11	1	593	279
11_02	11	2	2762	179
11_03	11	3	1214	146
11_04	11	4	1200	126
11_05	11	5	1258	109
11_06	11	6	1387	91
11_07	11	7	1219	83
11_08	11	8	8874	77
11_09	11	9	3535	59
11_10	11	10	6502	58
11_11	11	11	70	55
11_12	11	12	4720	55
11_13	11	13	1997	53
11_14	11	14	71535	53
11_15	11	15	1215	51
12_01	12	1	588	183
12_02	12	2	364	172
12_03	12	3	595	146
12_04	12	4	1073	119
12_05	12	5	551	93
12_06	12	6	919	92
12_07	12	7	8360	92
12_08	12	8	1220	84
12_09	12	9	594	77
12_10	12	10	2700	76
12_11	12	11	1028	71
12_12	12	12	1035	64
12_13	12	13	4308	55
12_14	12	14	1282	53
12_15	12	15	2078	53
13_01	13	1	50	204
13_02	13	2	47	203
13_03	13	3	2762	179
13_04	13	4	32	177
13_05	13	5	648	162
13_06	13	6	4226	159
13_07	13	7	79132	143
13_08	13	8	1089	131
13_09	13	9	5445	120
13_10	13	10	5418	112
13_11	13	11	4878	109
13_12	13	12	1617	97
13_13	13	13	2987	97
13_14	13	14	48780	90
13_15	13	15	904	84
13_16	13	16	32587	84
13_17	13	17	1625	77
13_18	13	18	923	69
13_19	13	19	74458	67
13_20	13	20	70286	65
14_01	14	1	356	329
14_02	14	2	2858	204
14_03	14	3	377	171
14_04	14	4	4306	170
14_05	14	5	595	146
14_06	14	6	1265	143
14_07	14	7	1197	142
14_08	14	8	1704	141
14_09	14	9	7361	131
14_10	14	10	4995	123
14_11	14	11	4973	120
14_12	14	12	3996	110
14_13	14	13	1923	105
14_14	14	14	60069	104
14_15	14	15	357	103
14_16	14	16	912	100
14_17	14	17	1784	96
14_18	14	18	2396	92
14_19	14	19	8360	92
14_20	14	20	2797	91
15_01	15	1	2571	278
15_02	15	2	260	251
15_03	15	3	480	238
15_04	15	4	589	224
15_05	15	5	1196	211
15_06	15	6	1210	196
15_07	15	7	32	177
15_08	15	8	1270	171
15_09	15	9	1214	146
15_10	15	10	79132	143
15_11	15	11	3793	133
15_12	15	12	1240	131
15_13	15	13	7361	131
15_14	15	14	1200	126
15_15	15	15	1682	125
15_16	15	16	541	124
15_17	15	17	1097	122
15_18	15	18	5349	122
15_19	15	19	1206	120
15_20	15	20	2716	120
16_01	16	1	296	307
16_02	16	2	593	279
16_03	16	3	2571	278
16_04	16	4	480	238
16_05	16	5	2959	218
16_06	16	6	50	204
16_07	16	7	47	203
16_08	16	8	457	190
16_09	16	9	608	181
16_10	16	10	32	177
16_11	16	11	377	171
16_12	16	12	648	162
16_13	16	13	4226	159
16_14	16	14	1036	145
16_15	16	15	165	144
16_16	16	16	79132	143
16_17	16	17	293	133
16_18	16	18	1089	131
16_19	16	19	1240	131
16_20	16	20	6874	131
17_01	17	1	356	329
17_02	17	2	110	237
17_03	17	3	527	220
17_04	17	4	2028	188
17_05	17	5	1208	107
17_06	17	6	161	103
17_07	17	7	1222	102
17_08	17	8	750	97
17_09	17	9	2324	88
17_10	17	10	68157	88
17_11	17	11	51662	80
17_12	17	12	1090	63
17_13	17	13	7143	62
17_14	17	14	49530	53
17_15	17	15	5010	50
17_16	17	16	116797	50
18_01	18	1	590	164
18_02	18	2	368	74
18_03	18	3	1201	72
18_04	18	4	99114	71
18_05	18	5	163	66
18_06	18	6	553	65
18_07	18	7	1304	62
18_08	18	8	3671	62
19_01	19	1	150	201
19_02	19	2	364	172
19_03	19	3	58559	149
19_04	19	4	595	146
19_05	19	5	79132	143
19_06	19	6	33794	116
19_07	19	7	44191	100
19_08	19	8	72998	97
19_09	19	9	8368	93
19_10	19	10	51662	80
19_11	19	11	8636	79
19_12	19	12	91529	76
19_13	19	13	109487	73
19_14	19	14	40815	71
19_15	19	15	89745	69
19_16	19	16	68358	59
19_17	19	17	54001	58
19_18	19	18	69844	58
19_19	19	19	78499	55
19_20	19	20	76093	53
