id	user_id	movie_id	tag	tagged_at
00000000-0000-0000-0000-000000000021_001569	00000000-0000-0000-0000-000000000021	1569	wedding	2014-12-29 07:23:39
00000000-0000-0000-0000-000000000021_118985	00000000-0000-0000-0000-000000000021	118985	painter	2014-12-29 07:24:37
00000000-0000-0000-0000-000000000021_119141	00000000-0000-0000-0000-000000000021	119141	bloody	2014-12-29 04:12:42
00000000-0000-0000-0000-000000000049_109487	00000000-0000-0000-0000-000000000049	109487	black hole	2017-04-25 13:08:26
00000000-0000-0000-0000-000000000049_109487	00000000-0000-0000-0000-000000000049	109487	sci-fi	2017-04-25 13:08:52
00000000-0000-0000-0000-000000000049_109487	00000000-0000-0000-0000-000000000049	109487	time-travel	2017-04-25 13:09:16
00000000-0000-0000-0000-000000000062_000002	00000000-0000-0000-0000-000000000062	2	fantasy	2018-06-13 07:52:09
00000000-0000-0000-0000-000000000062_000002	00000000-0000-0000-0000-000000000062	2	magic board game	2018-06-13 07:52:12
00000000-0000-0000-0000-000000000062_000002	00000000-0000-0000-0000-000000000062	2	Robin Williams	2018-06-13 07:51:47
00000000-0000-0000-0000-000000000062_000110	00000000-0000-0000-0000-000000000062	110	beautiful scenery	2018-06-05 07:49:01
00000000-0000-0000-0000-000000000062_000110	00000000-0000-0000-0000-000000000062	110	epic	2018-06-05 07:48:52
00000000-0000-0000-0000-000000000062_000110	00000000-0000-0000-0000-000000000062	110	historical	2018-06-05 07:48:43
00000000-0000-0000-0000-000000000062_000110	00000000-0000-0000-0000-000000000062	110	inspirational	2018-06-05 07:48:47
00000000-0000-0000-0000-000000000062_000110	00000000-0000-0000-0000-000000000062	110	Medieval	2018-06-05 07:48:48
00000000-0000-0000-0000-000000000062_000110	00000000-0000-0000-0000-000000000062	110	mel gibson	2018-06-05 07:48:41
00000000-0000-0000-0000-000000000062_000110	00000000-0000-0000-0000-000000000062	110	Oscar (Best Cinematography)	2018-06-05 07:48:59
00000000-0000-0000-0000-000000000062_000110	00000000-0000-0000-0000-000000000062	110	revenge	2018-06-05 07:48:51
00000000-0000-0000-0000-000000000062_000110	00000000-0000-0000-0000-000000000062	110	sword fight	2018-06-05 07:48:55
00000000-0000-0000-0000-000000000062_000410	00000000-0000-0000-0000-000000000062	410	black comedy	2018-05-07 04:56:47
00000000-0000-0000-0000-000000000062_000410	00000000-0000-0000-0000-000000000062	410	Christina Ricci	2018-05-07 04:58:05
00000000-0000-0000-0000-000000000062_000410	00000000-0000-0000-0000-000000000062	410	Christopher Lloyd	2018-05-07 04:57:02
00000000-0000-0000-0000-000000000062_000410	00000000-0000-0000-0000-000000000062	410	dark comedy	2018-05-07 04:56:50
00000000-0000-0000-0000-000000000062_000410	00000000-0000-0000-0000-000000000062	410	family	2018-05-07 04:58:28
00000000-0000-0000-0000-000000000062_000410	00000000-0000-0000-0000-000000000062	410	gothic	2018-05-07 04:56:49
00000000-0000-0000-0000-000000000062_002023	00000000-0000-0000-0000-000000000062	2023	Al Pacino	2018-05-07 04:58:48
00000000-0000-0000-0000-000000000062_002023	00000000-0000-0000-0000-000000000062	2023	Andy Garcia	2018-05-07 04:59:28
00000000-0000-0000-0000-000000000062_002023	00000000-0000-0000-0000-000000000062	2023	Classic	2018-05-07 04:59:12
00000000-0000-0000-0000-000000000062_002023	00000000-0000-0000-0000-000000000062	2023	Francis Ford Coppola	2018-05-07 04:59:12
00000000-0000-0000-0000-000000000062_002023	00000000-0000-0000-0000-000000000062	2023	mafia	2018-05-07 04:58:53
00000000-0000-0000-0000-000000000062_002124	00000000-0000-0000-0000-000000000062	2124	black comedy	2018-05-07 05:00:47
00000000-0000-0000-0000-000000000062_002124	00000000-0000-0000-0000-000000000062	2124	Christina Ricci	2018-05-07 05:01:07
00000000-0000-0000-0000-000000000062_002124	00000000-0000-0000-0000-000000000062	2124	Christopher Lloyd	2018-05-07 05:00:59
00000000-0000-0000-0000-000000000062_002124	00000000-0000-0000-0000-000000000062	2124	Family	2018-05-07 05:00:55
00000000-0000-0000-0000-000000000062_002124	00000000-0000-0000-0000-000000000062	2124	gothic	2018-05-07 05:00:49
00000000-0000-0000-0000-000000000062_002124	00000000-0000-0000-0000-000000000062	2124	quirky	2018-05-07 05:00:46
00000000-0000-0000-0000-000000000062_002953	00000000-0000-0000-0000-000000000062	2953	family	2018-05-07 05:01:23
00000000-0000-0000-0000-000000000062_002953	00000000-0000-0000-0000-000000000062	2953	funny	2018-05-07 05:01:25
00000000-0000-0000-0000-000000000062_002953	00000000-0000-0000-0000-000000000062	2953	Macaulay Culkin	2018-05-07 05:01:30
00000000-0000-0000-0000-000000000062_002953	00000000-0000-0000-0000-000000000062	2953	sequel	2018-05-07 05:01:27
00000000-0000-0000-0000-000000000062_003114	00000000-0000-0000-0000-000000000062	3114	animation	2018-05-07 05:01:43
00000000-0000-0000-0000-000000000062_003114	00000000-0000-0000-0000-000000000062	3114	Disney	2018-05-07 05:01:42
00000000-0000-0000-0000-000000000062_003114	00000000-0000-0000-0000-000000000062	3114	funny	2018-05-07 05:01:53
00000000-0000-0000-0000-000000000062_003114	00000000-0000-0000-0000-000000000062	3114	original	2018-05-07 05:01:57
00000000-0000-0000-0000-000000000062_003114	00000000-0000-0000-0000-000000000062	3114	Pixar	2018-05-07 05:01:41
00000000-0000-0000-0000-000000000062_003114	00000000-0000-0000-0000-000000000062	3114	sequel	2018-05-07 05:01:50
00000000-0000-0000-0000-000000000062_003114	00000000-0000-0000-0000-000000000062	3114	Tom Hanks	2018-05-07 05:02:05
00000000-0000-0000-0000-000000000062_003578	00000000-0000-0000-0000-000000000062	3578	ancient Rome	2018-06-05 07:48:24
00000000-0000-0000-0000-000000000062_003578	00000000-0000-0000-0000-000000000062	3578	Epic	2018-06-05 07:47:49
00000000-0000-0000-0000-000000000062_003578	00000000-0000-0000-0000-000000000062	3578	history	2018-06-05 07:47:47
00000000-0000-0000-0000-000000000062_003578	00000000-0000-0000-0000-000000000062	3578	imdb top 250	2018-06-05 07:48:18
00000000-0000-0000-0000-000000000062_003578	00000000-0000-0000-0000-000000000062	3578	revenge	2018-06-05 07:48:16
00000000-0000-0000-0000-000000000062_003578	00000000-0000-0000-0000-000000000062	3578	Rome	2018-06-05 07:47:43
00000000-0000-0000-0000-000000000062_003578	00000000-0000-0000-0000-000000000062	3578	Russell Crowe	2018-06-05 07:47:45
00000000-0000-0000-0000-000000000062_004223	00000000-0000-0000-0000-000000000062	4223	Ed Harris	2018-06-03 20:21:09
00000000-0000-0000-0000-000000000062_004223	00000000-0000-0000-0000-000000000062	4223	Jude Law	2018-06-03 20:20:54
00000000-0000-0000-0000-000000000062_004223	00000000-0000-0000-0000-000000000062	4223	Rachel Weisz	2018-06-03 20:21:13
00000000-0000-0000-0000-000000000062_004223	00000000-0000-0000-0000-000000000062	4223	sniper	2018-06-03 20:20:52
00000000-0000-0000-0000-000000000062_004223	00000000-0000-0000-0000-000000000062	4223	World War II	2018-06-03 20:21:17
00000000-0000-0000-0000-000000000062_005388	00000000-0000-0000-0000-000000000062	5388	Al Pacino	2018-06-30 07:20:09
00000000-0000-0000-0000-000000000062_005388	00000000-0000-0000-0000-000000000062	5388	atmospheric	2018-06-30 07:22:39
00000000-0000-0000-0000-000000000062_005388	00000000-0000-0000-0000-000000000062	5388	Hilary Swank	2018-06-30 07:22:32
00000000-0000-0000-0000-000000000062_005388	00000000-0000-0000-0000-000000000062	5388	Robin Williams	2018-06-30 07:20:11
00000000-0000-0000-0000-000000000062_006058	00000000-0000-0000-0000-000000000062	6058	sequel	2018-05-06 06:17:33
00000000-0000-0000-0000-000000000062_006058	00000000-0000-0000-0000-000000000062	6058	violent	2018-05-06 06:17:31
00000000-0000-0000-0000-000000000062_006534	00000000-0000-0000-0000-000000000062	6534	dogs	2018-05-06 06:01:36
00000000-0000-0000-0000-000000000062_006534	00000000-0000-0000-0000-000000000062	6534	Eric Bana	2018-05-06 06:01:26
00000000-0000-0000-0000-000000000062_006534	00000000-0000-0000-0000-000000000062	6534	mad scientist	2018-05-06 06:01:38
00000000-0000-0000-0000-000000000062_006534	00000000-0000-0000-0000-000000000062	6534	marvel	2018-05-06 06:01:40
00000000-0000-0000-0000-000000000062_006541	00000000-0000-0000-0000-000000000062	6541	captain nemo	2018-05-06 06:00:54
00000000-0000-0000-0000-000000000062_006541	00000000-0000-0000-0000-000000000062	6541	comic book	2018-05-06 06:00:28
00000000-0000-0000-0000-000000000062_006541	00000000-0000-0000-0000-000000000062	6541	gothic	2018-05-06 06:00:56
00000000-0000-0000-0000-000000000062_006541	00000000-0000-0000-0000-000000000062	6541	Peta Wilson	2018-05-06 06:00:40
00000000-0000-0000-0000-000000000062_006541	00000000-0000-0000-0000-000000000062	6541	Sean Connery	2018-05-06 06:00:26
00000000-0000-0000-0000-000000000062_006541	00000000-0000-0000-0000-000000000062	6541	superhero	2018-05-06 06:00:51
00000000-0000-0000-0000-000000000062_006564	00000000-0000-0000-0000-000000000062	6564	adventure	2018-05-06 06:07:19
00000000-0000-0000-0000-000000000062_006564	00000000-0000-0000-0000-000000000062	6564	Angelina Jolie	2018-05-06 06:07:12
00000000-0000-0000-0000-000000000062_006564	00000000-0000-0000-0000-000000000062	6564	heroine in tight suit	2018-05-06 06:07:21
00000000-0000-0000-0000-000000000062_007153	00000000-0000-0000-0000-000000000062	7153	Adventure	2018-06-05 07:49:18
00000000-0000-0000-0000-000000000062_007153	00000000-0000-0000-0000-000000000062	7153	ensemble cast	2018-06-05 07:49:38
00000000-0000-0000-0000-000000000062_007153	00000000-0000-0000-0000-000000000062	7153	fantasy	2018-06-05 07:49:16
00000000-0000-0000-0000-000000000062_007153	00000000-0000-0000-0000-000000000062	7153	fantasy world	2018-06-05 07:49:31
00000000-0000-0000-0000-000000000062_007153	00000000-0000-0000-0000-000000000062	7153	great soundtrack	2018-06-05 07:49:35
00000000-0000-0000-0000-000000000062_007153	00000000-0000-0000-0000-000000000062	7153	lord of the rings	2018-06-05 07:49:41
00000000-0000-0000-0000-000000000062_007153	00000000-0000-0000-0000-000000000062	7153	scenic	2018-06-05 07:49:40
00000000-0000-0000-0000-000000000062_007153	00000000-0000-0000-0000-000000000062	7153	stylized	2018-06-05 07:49:37
00000000-0000-0000-0000-000000000062_007153	00000000-0000-0000-0000-000000000062	7153	Tolkien	2018-06-05 07:49:21
00000000-0000-0000-0000-000000000062_008641	00000000-0000-0000-0000-000000000062	8641	hilarious	2018-05-14 07:05:38
00000000-0000-0000-0000-000000000062_008641	00000000-0000-0000-0000-000000000062	8641	Steve Carell	2018-05-14 07:05:56
00000000-0000-0000-0000-000000000062_008641	00000000-0000-0000-0000-000000000062	8641	Will Ferrell	2018-05-14 07:05:35
00000000-0000-0000-0000-000000000062_027660	00000000-0000-0000-0000-000000000062	27660	animation	2018-05-06 06:08:10
00000000-0000-0000-0000-000000000062_027660	00000000-0000-0000-0000-000000000062	27660	anime	2018-05-06 06:08:08
00000000-0000-0000-0000-000000000062_027660	00000000-0000-0000-0000-000000000062	27660	cyberpunk	2018-05-06 06:08:06
00000000-0000-0000-0000-000000000062_027660	00000000-0000-0000-0000-000000000062	27660	dark	2018-05-06 06:08:20
00000000-0000-0000-0000-000000000062_027660	00000000-0000-0000-0000-000000000062	27660	Matrix	2018-05-06 06:08:13
00000000-0000-0000-0000-000000000062_027660	00000000-0000-0000-0000-000000000062	27660	sci-fi	2018-05-06 06:08:11
00000000-0000-0000-0000-000000000062_027706	00000000-0000-0000-0000-000000000062	27706	dark comedy	2018-05-14 06:56:38
00000000-0000-0000-0000-000000000062_027706	00000000-0000-0000-0000-000000000062	27706	Jim Carrey	2018-05-14 06:56:15
00000000-0000-0000-0000-000000000062_027706	00000000-0000-0000-0000-000000000062	27706	meryl streep	2018-05-14 06:56:20
00000000-0000-0000-0000-000000000062_027706	00000000-0000-0000-0000-000000000062	27706	quirky	2018-05-14 06:55:53
00000000-0000-0000-0000-000000000062_027706	00000000-0000-0000-0000-000000000062	27706	stylized	2018-05-14 06:56:41
00000000-0000-0000-0000-000000000062_027808	00000000-0000-0000-0000-000000000062	27808	Adam Sandler	2018-05-06 06:15:00
00000000-0000-0000-0000-000000000062_027808	00000000-0000-0000-0000-000000000062	27808	family	2018-05-06 06:15:19
00000000-0000-0000-0000-000000000062_027808	00000000-0000-0000-0000-000000000062	27808	sweet	2018-05-06 06:15:22
00000000-0000-0000-0000-000000000062_027831	00000000-0000-0000-0000-000000000062	27831	British gangster	2018-07-28 05:28:24
00000000-0000-0000-0000-000000000062_027831	00000000-0000-0000-0000-000000000062	27831	confusing	2018-07-28 05:29:24
00000000-0000-0000-0000-000000000062_027831	00000000-0000-0000-0000-000000000062	27831	daniel craig	2018-07-28 05:28:25
00000000-0000-0000-0000-000000000062_027831	00000000-0000-0000-0000-000000000062	27831	Exquisite plotting.	2018-07-28 05:29:15
00000000-0000-0000-0000-000000000062_027831	00000000-0000-0000-0000-000000000062	27831	organized crime	2018-07-28 05:29:29
00000000-0000-0000-0000-000000000062_027831	00000000-0000-0000-0000-000000000062	27831	stylish	2018-07-28 05:29:16
00000000-0000-0000-0000-000000000062_027831	00000000-0000-0000-0000-000000000062	27831	Tom Hardy	2018-07-28 05:29:19
00000000-0000-0000-0000-000000000062_031658	00000000-0000-0000-0000-000000000062	31658	anime	2018-05-09 21:30:41
00000000-0000-0000-0000-000000000062_031658	00000000-0000-0000-0000-000000000062	31658	fantasy world	2018-05-09 21:30:51
00000000-0000-0000-0000-000000000062_031658	00000000-0000-0000-0000-000000000062	31658	Hayao Miyazaki	2018-05-09 21:30:46
00000000-0000-0000-0000-000000000062_031658	00000000-0000-0000-0000-000000000062	31658	Studio Ghibli	2018-05-09 21:30:44
00000000-0000-0000-0000-000000000062_033162	00000000-0000-0000-0000-000000000062	33162	David Thewlis	2018-05-06 06:10:05
00000000-0000-0000-0000-000000000062_033162	00000000-0000-0000-0000-000000000062	33162	Eva Green	2018-05-06 06:09:10
00000000-0000-0000-0000-000000000062_033162	00000000-0000-0000-0000-000000000062	33162	Liam Neeson	2018-05-06 06:09:37
00000000-0000-0000-0000-000000000062_033162	00000000-0000-0000-0000-000000000062	33162	Orlando Bloom	2018-05-06 06:08:31
00000000-0000-0000-0000-000000000062_034150	00000000-0000-0000-0000-000000000062	34150	Chris Evans	2018-05-06 06:02:21
00000000-0000-0000-0000-000000000062_034150	00000000-0000-0000-0000-000000000062	34150	comic book	2018-05-06 06:00:03
00000000-0000-0000-0000-000000000062_034150	00000000-0000-0000-0000-000000000062	34150	heroine in tight suit	2018-05-06 06:02:18
00000000-0000-0000-0000-000000000062_034150	00000000-0000-0000-0000-000000000062	34150	Jessica Alba	2018-05-06 06:02:07
00000000-0000-0000-0000-000000000062_034150	00000000-0000-0000-0000-000000000062	34150	sexy female scientist	2018-05-06 06:02:24
00000000-0000-0000-0000-000000000062_034150	00000000-0000-0000-0000-000000000062	34150	superhero	2018-05-06 05:59:37
00000000-0000-0000-0000-000000000062_037729	00000000-0000-0000-0000-000000000062	37729	gothic	2018-06-30 07:15:27
00000000-0000-0000-0000-000000000062_037729	00000000-0000-0000-0000-000000000062	37729	helena bonham carter	2018-06-30 07:15:34
00000000-0000-0000-0000-000000000062_037729	00000000-0000-0000-0000-000000000062	37729	Johnny Depp	2018-06-30 07:15:29
00000000-0000-0000-0000-000000000062_037729	00000000-0000-0000-0000-000000000062	37729	Tim Burton	2018-06-30 07:15:26
00000000-0000-0000-0000-000000000062_037729	00000000-0000-0000-0000-000000000062	37729	visually appealing	2018-06-30 07:15:41
00000000-0000-0000-0000-000000000062_038061	00000000-0000-0000-0000-000000000062	38061	black comedy	2018-07-28 05:29:40
00000000-0000-0000-0000-000000000062_038061	00000000-0000-0000-0000-000000000062	38061	clever	2018-07-28 05:30:03
00000000-0000-0000-0000-000000000062_038061	00000000-0000-0000-0000-000000000062	38061	fast-paced dialogue	2018-07-28 05:30:06
00000000-0000-0000-0000-000000000062_038061	00000000-0000-0000-0000-000000000062	38061	good dialogue	2018-07-28 05:30:28
00000000-0000-0000-0000-000000000062_038061	00000000-0000-0000-0000-000000000062	38061	Robert Downey Jr.	2018-07-28 05:30:08
00000000-0000-0000-0000-000000000062_038061	00000000-0000-0000-0000-000000000062	38061	witty	2018-07-28 05:30:02
00000000-0000-0000-0000-000000000062_045447	00000000-0000-0000-0000-000000000062	45447	adventure	2018-05-07 05:04:24
00000000-0000-0000-0000-000000000062_045447	00000000-0000-0000-0000-000000000062	45447	Audrey Tautou	2018-05-07 05:04:35
00000000-0000-0000-0000-000000000062_045447	00000000-0000-0000-0000-000000000062	45447	conspiracy theory	2018-05-07 05:04:22
00000000-0000-0000-0000-000000000062_045447	00000000-0000-0000-0000-000000000062	45447	Mystery	2018-05-07 05:04:41
00000000-0000-0000-0000-000000000062_045447	00000000-0000-0000-0000-000000000062	45447	Paris	2018-05-07 05:04:39
00000000-0000-0000-0000-000000000062_045447	00000000-0000-0000-0000-000000000062	45447	Tom Hanks	2018-05-07 05:04:27
00000000-0000-0000-0000-000000000062_045447	00000000-0000-0000-0000-000000000062	45447	treasure hunt	2018-05-07 05:04:44
00000000-0000-0000-0000-000000000062_046723	00000000-0000-0000-0000-000000000062	46723	Brad Pitt	2018-05-06 06:03:37
00000000-0000-0000-0000-000000000062_046723	00000000-0000-0000-0000-000000000062	46723	cate blanchett	2018-05-06 06:03:47
00000000-0000-0000-0000-000000000062_046723	00000000-0000-0000-0000-000000000062	46723	multiple storylines	2018-05-06 06:03:35
00000000-0000-0000-0000-000000000062_046723	00000000-0000-0000-0000-000000000062	46723	social commentary	2018-05-06 06:04:06
00000000-0000-0000-0000-000000000062_046972	00000000-0000-0000-0000-000000000062	46972	Ben Stiller	2018-05-06 06:04:14
00000000-0000-0000-0000-000000000062_046972	00000000-0000-0000-0000-000000000062	46972	Robin Williams	2018-05-06 06:04:15
00000000-0000-0000-0000-000000000062_046976	00000000-0000-0000-0000-000000000062	46976	emma thompson	2018-09-14 06:38:12
00000000-0000-0000-0000-000000000062_046976	00000000-0000-0000-0000-000000000062	46976	Maggie Gyllenhaal	2018-09-14 06:37:35
00000000-0000-0000-0000-000000000062_046976	00000000-0000-0000-0000-000000000062	46976	modern fantasy	2018-09-14 06:37:38
00000000-0000-0000-0000-000000000062_046976	00000000-0000-0000-0000-000000000062	46976	romance	2018-09-14 06:37:31
00000000-0000-0000-0000-000000000062_046976	00000000-0000-0000-0000-000000000062	46976	surreal	2018-09-14 06:37:42
00000000-0000-0000-0000-000000000062_046976	00000000-0000-0000-0000-000000000062	46976	Will Ferrell	2018-09-14 06:37:33
00000000-0000-0000-0000-000000000062_049130	00000000-0000-0000-0000-000000000062	49130	Marion Cotillard	2018-05-18 03:39:31
00000000-0000-0000-0000-000000000062_049530	00000000-0000-0000-0000-000000000062	49530	Africa	2018-09-14 06:38:26
00000000-0000-0000-0000-000000000062_049530	00000000-0000-0000-0000-000000000062	49530	corruption	2018-09-14 06:38:24
00000000-0000-0000-0000-000000000062_049530	00000000-0000-0000-0000-000000000062	49530	Jennifer Connelly	2018-09-14 06:38:21
00000000-0000-0000-0000-000000000062_049530	00000000-0000-0000-0000-000000000062	49530	justice	2018-09-14 06:38:29
00000000-0000-0000-0000-000000000062_049530	00000000-0000-0000-0000-000000000062	49530	Leonardo DiCaprio	2018-09-14 06:38:18
00000000-0000-0000-0000-000000000062_053464	00000000-0000-0000-0000-000000000062	53464	bad acting	2018-05-06 06:13:17
00000000-0000-0000-0000-000000000062_053464	00000000-0000-0000-0000-000000000062	53464	bad jokes	2018-05-06 06:13:31
00000000-0000-0000-0000-000000000062_053464	00000000-0000-0000-0000-000000000062	53464	bad plot	2018-05-06 06:13:42
00000000-0000-0000-0000-000000000062_053464	00000000-0000-0000-0000-000000000062	53464	Chris Evans	2018-05-06 06:13:27
00000000-0000-0000-0000-000000000062_053464	00000000-0000-0000-0000-000000000062	53464	Jessica Alba	2018-05-06 06:13:14
00000000-0000-0000-0000-000000000062_053464	00000000-0000-0000-0000-000000000062	53464	Marvel	2018-05-06 06:13:12
00000000-0000-0000-0000-000000000062_053464	00000000-0000-0000-0000-000000000062	53464	sexy female scientist	2018-05-06 06:13:33
00000000-0000-0000-0000-000000000062_058047	00000000-0000-0000-0000-000000000062	58047	Rachel Weisz	2018-06-14 02:02:44
00000000-0000-0000-0000-000000000062_058047	00000000-0000-0000-0000-000000000062	58047	Ryan Reynolds	2018-06-14 02:02:27
00000000-0000-0000-0000-000000000062_059501	00000000-0000-0000-0000-000000000062	59501	fantasy	2018-05-07 05:11:47
00000000-0000-0000-0000-000000000062_059501	00000000-0000-0000-0000-000000000062	59501	lion	2018-05-07 05:11:57
00000000-0000-0000-0000-000000000062_059501	00000000-0000-0000-0000-000000000062	59501	narnia	2018-05-07 05:11:48
00000000-0000-0000-0000-000000000062_059501	00000000-0000-0000-0000-000000000062	59501	Tilda Swinton	2018-05-07 05:13:23
00000000-0000-0000-0000-000000000062_060074	00000000-0000-0000-0000-000000000062	60074	bad script	2018-05-06 06:01:56
00000000-0000-0000-0000-000000000062_060074	00000000-0000-0000-0000-000000000062	60074	Charlize Theron	2018-05-06 06:02:01
00000000-0000-0000-0000-000000000062_060074	00000000-0000-0000-0000-000000000062	60074	Will Smith	2018-05-06 06:01:47
00000000-0000-0000-0000-000000000062_060126	00000000-0000-0000-0000-000000000062	60126	Anne Hathaway	2018-05-23 00:50:40
00000000-0000-0000-0000-000000000062_060126	00000000-0000-0000-0000-000000000062	60126	Steve Carell	2018-05-23 00:50:38
00000000-0000-0000-0000-000000000062_060756	00000000-0000-0000-0000-000000000062	60756	comedy	2018-06-14 08:59:44
00000000-0000-0000-0000-000000000062_060756	00000000-0000-0000-0000-000000000062	60756	funny	2018-06-14 08:59:41
00000000-0000-0000-0000-000000000062_060756	00000000-0000-0000-0000-000000000062	60756	will ferrell	2018-06-14 08:59:39
00000000-0000-0000-0000-000000000062_061024	00000000-0000-0000-0000-000000000062	61024	comedy	2018-06-14 08:56:58
00000000-0000-0000-0000-000000000062_061024	00000000-0000-0000-0000-000000000062	61024	James Franco	2018-06-14 08:56:54
00000000-0000-0000-0000-000000000062_061024	00000000-0000-0000-0000-000000000062	61024	Seth Rogen	2018-06-14 08:56:56
00000000-0000-0000-0000-000000000062_061024	00000000-0000-0000-0000-000000000062	61024	Stoner Movie	2018-06-14 08:56:59
00000000-0000-0000-0000-000000000062_063992	00000000-0000-0000-0000-000000000062	63992	audience intelligence underestimated	2018-06-14 08:57:17
00000000-0000-0000-0000-000000000062_063992	00000000-0000-0000-0000-000000000062	63992	boring	2018-06-14 08:57:21
00000000-0000-0000-0000-000000000062_063992	00000000-0000-0000-0000-000000000062	63992	chick flick	2018-06-14 08:57:27
00000000-0000-0000-0000-000000000062_063992	00000000-0000-0000-0000-000000000062	63992	overrated	2018-06-14 08:57:20
00000000-0000-0000-0000-000000000062_063992	00000000-0000-0000-0000-000000000062	63992	Teen movie	2018-06-14 08:57:13
00000000-0000-0000-0000-000000000062_068848	00000000-0000-0000-0000-000000000062	68848	Adrien Brody	2018-05-26 03:51:45
00000000-0000-0000-0000-000000000062_068848	00000000-0000-0000-0000-000000000062	68848	con artists	2018-05-26 03:52:00
00000000-0000-0000-0000-000000000062_068848	00000000-0000-0000-0000-000000000062	68848	funny	2018-05-26 03:52:02
00000000-0000-0000-0000-000000000062_068848	00000000-0000-0000-0000-000000000062	68848	interesting characters	2018-05-26 03:52:04
00000000-0000-0000-0000-000000000062_068848	00000000-0000-0000-0000-000000000062	68848	Mark Ruffalo	2018-05-26 03:51:56
00000000-0000-0000-0000-000000000062_068848	00000000-0000-0000-0000-000000000062	68848	Rachel Weisz	2018-05-26 03:51:51
00000000-0000-0000-0000-000000000062_071535	00000000-0000-0000-0000-000000000062	71535	Bill Murray	2018-06-24 03:06:38
00000000-0000-0000-0000-000000000062_071535	00000000-0000-0000-0000-000000000062	71535	dark comedy	2018-06-24 03:06:29
00000000-0000-0000-0000-000000000062_071535	00000000-0000-0000-0000-000000000062	71535	Emma Stone	2018-06-24 03:06:32
00000000-0000-0000-0000-000000000062_071535	00000000-0000-0000-0000-000000000062	71535	funny	2018-06-24 03:06:34
00000000-0000-0000-0000-000000000062_071535	00000000-0000-0000-0000-000000000062	71535	Jesse Eisenberg	2018-06-24 03:06:26
00000000-0000-0000-0000-000000000062_071535	00000000-0000-0000-0000-000000000062	71535	Woody Harrelson	2018-06-24 03:05:29
