id	base_movie_id	rank	movie_id	score
000006_06	6	6	96020	1.0000000000000002
000006_07	6	7	62956	1.0000000000000002
000006_08	6	8	1264	1.0000000000000002
000006_09	6	9	3061	1.0000000000000002
000006_10	6	10	27803	1.0000000000000002
000006_11	6	11	26340	1.0000000000000002
000006_12	6	12	6241	1.0
000006_13	6	13	6222	1.0
000006_14	6	14	6285	1.0
000006_15	6	15	57536	1.0
000006_16	6	16	2537	1.0
000006_17	6	17	6279	1.0
000006_18	6	18	6265	1.0
000006_19	6	19	6263	1.0
000006_20	6	20	6223	1.0
000007_01	7	1	4036	1.0000000000000002
000007_02	7	2	4121	1.0000000000000002
000007_03	7	3	3061	1.0000000000000002
000007_04	7	4	2322	1.0000000000000002
000007_05	7	5	6062	1.0000000000000002
000007_06	7	6	1004	1.0000000000000002
000007_07	7	7	89	1.0000000000000002
000007_08	7	8	486	1.0000000000000002
000007_09	7	9	132	1.0000000000000002
000007_10	7	10	4055	1.0
000007_11	7	11	49666	1.0
000007_12	7	12	1752	1.0
000007_13	7	13	4037	1.0
000007_14	7	14	4091	1.0
000007_15	7	15	1679	1.0
000007_16	7	16	4115	1.0
000007_17	7	17	8943	1.0
000007_18	7	18	50792	1.0
000007_19	7	19	50794	1.0
000007_20	7	20	4124	1.0
000008_01	8	1	1286	1.0000000000000002
000008_02	8	2	697	1.0000000000000002
000008_03	8	3	1601	1.0000000000000002
000008_04	8	4	694	1.0000000000000002
000008_05	8	5	57	1.0000000000000002
000008_06	8	6	458	1.0000000000000002
000008_07	8	7	45	1.0000000000000002
000008_08	8	8	383	1.0000000000000002
000008_09	8	9	33725	1.0
000008_10	8	10	5423	1.0
000008_11	8	11	6888	1.0
000008_12	8	12	5428	1.0
000008_13	8	13	5424	1.0
000008_14	8	14	5420	1.0
000008_15	8	15	6884	1.0
000008_16	8	16	6883	1.0
000008_17	8	17	5427	1.0
000008_18	8	18	104241	1.0
000008_19	8	19	6880	1.0
000008_20	8	20	1306	1.0
000009_01	9	1	886	1.0000000000000002
000009_02	9	2	5481	1.0000000000000002
000009_03	9	3	1432	1.0000000000000002
000009_04	9	4	6888	1.0000000000000002
000009_05	9	5	191	1.0000000000000002
000009_06	9	6	1105	1.0
000009_07	9	7	6992	1.0
000009_08	9	8	5582	1.0
000009_09	9	9	31696	1.0
000009_10	9	10	5585	1.0
000009_11	9	11	145745	1.0
000009_12	9	12	2477	1.0
000009_13	9	13	2476	1.0
000009_14	9	14	2472	1.0
000009_15	9	15	2485	1.0
000009_16	9	16	6994	1.0
000009_17	9	17	5591	1.0
000009_18	9	18	5596	1.0
000009_19	9	19	5597	1.0
000009_20	9	20	145724	1.0
000010_01	10	1	2919	1.0000000000000002
000010_02	10	2	891	1.0000000000000002
000010_03	10	3	3203	1.0000000000000002
000010_04	10	4	1906	1.0000000000000002
000010_05	10	5	521	1.0000000000000002
000010_06	10	6	1392	1.0000000000000002
000010_07	10	7	43460	1.0000000000000002
000010_08	10	8	3251	1.0000000000000002
000010_09	10	9	1161	1.0000000000000002
000010_10	10	10	1964	1.0000000000000002
000010_11	10	11	69275	1.0000000000000002
000010_12	10	12	3370	1.0000000000000002
000010_13	10	13	7354	1.0000000000000002
000010_14	10	14	96281	1.0
000010_15	10	15	142222	1.0
000010_16	10	16	4572	1.0
000010_17	10	17	4573	1.0
000010_18	10	18	6263	1.0
000010_19	10	19	96283	1.0
000010_20	10	20	1999	1.0
000011_01	11	1	80860	1.0000000000000002
000011_02	11	2	678	1.0000000000000002
000011_03	11	3	3402	1.0000000000000002
000011_04	11	4	5666	1.0000000000000002
000011_05	11	5	87869	1.0000000000000002
000011_06	11	6	4193	1.0
000011_07	11	7	4204	1.0
000011_08	11	8	4168	1.0
000011_09	11	9	4117	1.0
000011_10	11	10	4166	1.0
000011_11	11	11	81784	1.0
000011_12	11	12	81910	1.0
000011_13	11	13	4142	1.0
000011_14	11	14	4133	1.0
000011_15	11	15	4129	1.0
000011_16	11	16	82169	1.0
000011_17	11	17	4189	1.0
000011_18	11	18	82534	1.0
000011_19	11	19	82854	1.0
000011_20	11	20	83086	1.0
000012_01	12	1	2841	1.0000000000000002
000012_02	12	2	22	1.0000000000000002
000012_03	12	3	544	1.0000000000000002
000012_04	12	4	2408	1.0000000000000002
000012_05	12	5	2535	1.0000000000000002
000012_06	12	6	2851	1.0000000000000002
000012_07	12	7	105755	1.0
000012_08	12	8	6204	1.0
000012_09	12	9	43549	1.0
000012_10	12	10	2552	1.0
000012_11	12	11	6212	1.0
000012_12	12	12	6214	1.0
000012_13	12	13	106330	1.0
000012_14	12	14	2541	1.0
000012_15	12	15	2540	1.0
000012_16	12	16	6203	1.0
000012_17	12	17	2558	1.0
000012_18	12	18	2553	1.0
000012_19	12	19	2531	1.0
000012_20	12	20	105653	1.0
000013_01	13	1	1275	1.0000000000000002
000013_02	13	2	1257	1.0000000000000002
000013_03	13	3	2567	1.0000000000000002
000013_04	13	4	1129	1.0000000000000002
000013_05	13	5	2002	1.0000000000000002
000013_06	13	6	2316	1.0000000000000002
000013_07	13	7	2123	1.0000000000000002
000013_08	13	8	1320	1.0000000000000002
000013_09	13	9	1409	1.0000000000000002
000013_10	13	10	4412	1.0
000013_11	13	11	2968	1.0
000013_12	13	12	4953	1.0
000013_13	13	13	42015	1.0
000013_14	13	14	42011	1.0
000013_15	13	15	42007	1.0
000013_16	13	16	2976	1.0
000013_17	13	17	4941	1.0
000013_18	13	18	41571	1.0
000013_19	13	19	41569	1.0
000013_20	13	20	1583	1.0
000014_01	14	1	594	1.0000000000000002
000014_02	14	2	1028	1.0000000000000002
000014_03	14	3	373	1.0000000000000002
000014_04	14	4	1378	1.0000000000000002
000014_05	14	5	552	1.0000000000000002
000014_06	14	6	107	1.0000000000000002
000014_07	14	7	85	1.0000000000000002
000014_08	14	8	1186	1.0000000000000002
000014_09	14	9	3474	1.0
000014_10	14	10	3441	1.0
000014_11	14	11	638	1.0
000014_12	14	12	3543	1.0
000014_13	14	13	1956	1.0
000014_14	14	14	3450	1.0
000014_15	14	15	3535	1.0
000014_16	14	16	3528	1.0
000014_17	14	17	3466	1.0
000014_18	14	18	3525	1.0
000014_19	14	19	3524	1.0
000014_20	14	20	3521	1.0
000015_01	15	1	1615	1.0000000000000002
000015_02	15	2	195	1.0000000000000002
000015_03	15	3	4531	1.0
000015_04	15	4	1432	1.0
000015_05	15	5	1431	1.0
000015_06	15	6	1430	1.0
000015_07	15	7	5820	1.0
000015_08	15	8	103609	1.0
000015_09	15	9	1427	1.0
000015_10	15	10	1426	1.0
000015_11	15	11	1425	1.0
000015_12	15	12	58156	1.0
000015_13	15	13	41617	1.0
000015_14	15	14	1417	1.0
000015_15	15	15	1416	1.0
000015_16	15	16	41573	1.0
000015_17	15	17	58293	1.0
000015_18	15	18	5803	1.0
000015_19	15	19	7030	1.0
000015_20	15	20	137218	1.0
000016_01	16	1	5508	1.0000000000000002
000016_02	16	2	36850	1.0000000000000002
000016_03	16	3	2967	1.0000000000000002
000016_04	16	4	2070	1.0000000000000002
000016_05	16	5	3135	1.0000000000000002
000016_06	16	6	281	1.0000000000000002
000016_07	16	7	71304	1.0000000000000002
000016_08	16	8	2932	1.0000000000000002
000016_09	16	9	835	1.0000000000000002
000016_10	16	10	42418	1.0000000000000002
000016_11	16	11	3152	1.0000000000000002
000016_12	16	12	161127	1.0000000000000002
000016_13	16	13	74324	1.0000000000000002
000016_14	16	14	3115	1.0000000000000002
000016_15	16	15	6183	1.0000000000000002
000016_16	16	16	27555	1.0000000000000002
000016_17	16	17	3310	1.0000000000000002
000016_18	16	18	2074	1.0000000000000002
000016_19	16	19	53022	1.0000000000000002
000016_20	16	20	34359	1.0
000017_01	17	1	639	1.0000000000000002
000017_02	17	2	645	1.0000000000000002
000017_03	17	3	6987	1.0000000000000002
000017_04	17	4	48997	1.0000000000000002
000017_05	17	5	6001	1.0000000000000002
000017_06	17	6	3627	1.0000000000000002
000017_07	17	7	4147	1.0000000000000002
000017_08	17	8	3426	1.0000000000000002
000017_09	17	9	2504	1.0000000000000002
000017_10	17	10	4387	1.0000000000000002
000017_11	17	11	3142	1.0000000000000002
000017_12	17	12	8542	1.0
000017_13	17	13	8718	1.0
000017_14	17	14	8724	1.0
000017_15	17	15	8730	1.0
000017_16	17	16	2156	1.0
000017_17	17	17	8753	1.0
000017_18	17	18	8754	1.0
000017_19	17	19	8755	1.0
000017_20	17	20	8772	1.0
000018_01	18	1	3980	1.0000000000000002
000018_02	18	2	5093	1.0000000000000002
000018_03	18	3	3681	1.0000000000000002
000018_04	18	4	2048	1.0000000000000002
000018_05	18	5	104241	1.0000000000000002
000018_06	18	6	89087	1.0000000000000002
000018_07	18	7	2662	1.0000000000000002
000018_08	18	8	154	1.0000000000000002
000018_09	18	9	66785	1.0000000000000002
000018_10	18	10	27822	1.0000000000000002
000018_11	18	11	8865	1.0000000000000002
000018_12	18	12	7299	1.0
000018_13	18	13	7234	1.0
000018_14	18	14	7257	1.0
000018_15	18	15	7225	1.0
000018_16	18	16	7212	1.0
000018_17	18	17	1600	1.0
000018_18	18	18	7258	1.0
000018_19	18	19	7324	1.0
000018_20	18	20	7264	1.0
000019_01	19	1	3802	1.0000000000000002
000019_02	19	2	499	1.0000000000000002
000019_03	19	3	69275	1.0000000000000002
000019_04	19	4	2745	1.0000000000000002
000019_05	19	5	98491	1.0000000000000002
000019_06	19	6	108795	1.0
000019_07	19	7	108715	1.0
000019_08	19	8	31952	1.0
000019_09	19	9	108601	1.0
000019_10	19	10	31973	1.0
000019_11	19	11	108192	1.0
000019_12	19	12	108188	1.0
000019_13	19	13	108090	1.0
000019_14	19	14	107999	1.0
000019_15	19	15	2534	1.0
000019_16	19	16	2523	1.0
000019_17	19	17	31909	1.0
000019_18	19	18	109183	1.0
000019_19	19	19	109187	1.0
000019_20	19	20	109191	1.0
000020_01	20	1	2134	1.0000000000000002
000020_02	20	2	4133	1.0000000000000002
000020_03	20	3	102481	1.0000000000000002
000020_04	20	4	2269	1.0000000000000002
000020_05	20	5	69069	1.0000000000000002
000020_06	20	6	102033	1.0000000000000002
000020_07	20	7	1409	1.0000000000000002
000020_08	20	8	87298	1.0000000000000002
000020_09	20	9	193	1.0000000000000002
000020_10	20	10	2718	1.0000000000000002
000020_11	20	11	110297	1.0000000000000002
000020_12	20	12	4587	1.0000000000000002
000020_13	20	13	49822	1.0000000000000002
000020_14	20	14	55830	1.0000000000000002
000020_15	20	15	90439	1.0000000000000002
000020_16	20	16	71520	1.0000000000000002
000020_17	20	17	3978	1.0000000000000002
000020_18	20	18	3208	1.0000000000000002
000020_19	20	19	2794	1.0000000000000002
000020_20	20	20	4333	1.0000000000000002
000021_01	21	1	6195	1.0000000000000002
000021_02	21	2	6286	1.0000000000000002
000021_03	21	3	5479	1.0000000000000002
000021_04	21	4	2360	1.0000000000000002
000021_05	21	5	5994	1.0000000000000002
000021_06	21	6	1537	1.0000000000000002
000021_07	21	7	27839	1.0000000000000002
000021_08	21	8	53956	1.0000000000000002
000021_09	21	9	7139	1.0000000000000002
000021_10	21	10	41527	1.0000000000000002
000021_11	21	11	1236	1.0000000000000002
000021_12	21	12	111617	1.0
000021_13	21	13	6509	1.0
000021_14	21	14	2579	1.0
000021_15	21	15	3733	1.0
000021_16	21	16	6483	1.0
000021_17	21	17	111659	1.0
000021_18	21	18	110882	1.0
000021_19	21	19	2593	1.0
000021_20	21	20	110826	1.0
000022_01	22	1	3684	1.0000000000000002
000022_02	22	2	44004	1.0000000000000002
000022_03	22	3	2672	1.0000000000000002
000022_04	22	4	2111	1.0000000000000002
000022_05	22	5	1769	1.0000000000000002
000022_06	22	6	6559	1.0000000000000002
000022_07	22	7	3466	1.0000000000000002
000022_08	22	8	79057	1.0000000000000002
000022_09	22	9	1848	1.0000000000000002
000022_10	22	10	7321	1.0000000000000002
000022_11	22	11	4989	1.0000000000000002
000022_12	22	12	5093	1.0000000000000002
000022_13	22	13	107	1.0000000000000002
000022_14	22	14	1125	1.0000000000000002
000022_15	22	15	521	1.0000000000000002
000022_16	22	16	5608	1.0000000000000002
000022_17	22	17	5899	1.0000000000000002
000022_18	22	18	3409	1.0000000000000002
000022_19	22	19	7117	1.0000000000000002
000022_20	22	20	3763	1.0000000000000002
000023_01	23	1	436	1.0000000000000002
000023_02	23	2	1833	1.0000000000000002
000023_03	23	3	8972	1.0000000000000002
000023_04	23	4	1627	1.0000000000000002
000023_05	23	5	4610	1.0
000023_06	23	6	4619	1.0
000023_07	23	7	4622	1.0
000023_08	23	8	4624	1.0
000023_09	23	9	4625	1.0
000023_10	23	10	5596	1.0
000023_11	23	11	4632	1.0
000023_12	23	12	136012	1.0
000023_13	23	13	4644	1.0
000023_14	23	14	4649	1.0
000023_15	23	15	4661	1.0
000023_16	23	16	4663	1.0
000023_17	23	17	4666	1.0
000023_18	23	18	4603	1.0
000023_19	23	19	4626	1.0
000023_20	23	20	4602	1.0
000024_01	24	1	66203	1.0000000000000002
000024_02	24	2	89	1.0000000000000002
000024_03	24	3	605	1.0000000000000002
000024_04	24	4	4036	1.0000000000000002
000024_05	24	5	6062	1.0000000000000002
000024_06	24	6	57	1.0000000000000002
000024_07	24	7	2046	1.0000000000000002
000024_08	24	8	2385	1.0000000000000002
000024_09	24	9	3873	1.0000000000000002
000024_10	24	10	4149	1.0000000000000002
000024_11	24	11	7321	1.0000000000000002
000024_12	24	12	129779	1.0
000024_13	24	13	43912	1.0
000024_14	24	14	5375	1.0
000024_15	24	15	3738	1.0
000024_16	24	16	88954	1.0
000024_17	24	17	62970	1.0
000024_18	24	18	130087	1.0
000024_19	24	19	1816	1.0
000024_20	24	20	43556	1.0
000025_01	25	1	627	1.0000000000000002
000025_02	25	2	4427	1.0000000000000002
000025_03	25	3	2988	1.0000000000000002
000025_04	25	4	56171	1.0000000000000002
000025_05	25	5	119	1.0000000000000002
000025_06	25	6	5417	1.0000000000000002
000025_07	25	7	4738	1.0000000000000002
000025_08	25	8	3728	1.0000000000000002
000025_09	25	9	1964	1.0000000000000002
000025_10	25	10	2682	1.0000000000000002
000025_11	25	11	2971	1.0000000000000002
000025_12	25	12	53322	1.0000000000000002
000025_13	25	13	3684	1.0000000000000002
000025_14	25	14	2932	1.0000000000000002
000025_15	25	15	6776	1.0
000025_16	25	16	6774	1.0
000025_17	25	17	6768	1.0
000025_18	25	18	6797	1.0
000025_19	25	19	6809	1.0
000025_20	25	20	1870	1.0
000026_01	26	1	7299	1.0000000000000002
000026_02	26	2	3272	1.0000000000000002
000026_03	26	3	1480	1.0000000000000002
000026_04	26	4	47610	1.0000000000000002
000026_05	26	5	27660	1.0000000000000002
000026_06	26	6	3198	1.0000000000000002
000026_07	26	7	1641	1.0000000000000002
000026_08	26	8	6341	1.0000000000000002
000026_09	26	9	1754	1.0000000000000002
000026_10	26	10	7048	1.0000000000000002
000026_11	26	11	2991	1.0000000000000002
000026_12	26	12	1447	1.0000000000000002
000026_13	26	13	4037	1.0000000000000002
000026_14	26	14	971	1.0000000000000002
000026_15	26	15	5881	1.0000000000000002
000026_16	26	16	5873	1.0000000000000002
000026_17	26	17	2067	1.0000000000000002
000026_18	26	18	908	1.0000000000000002
000026_19	26	19	8042	1.0000000000000002
000026_20	26	20	5298	1.0000000000000002
000027_01	27	1	7445	1.0000000000000002
000027_02	27	2	667	1.0000000000000002
000027_03	27	3	5454	1.0
000027_04	27	4	2092	1.0
000027_05	27	5	2091	1.0
000027_06	27	6	4926	1.0
000027_07	27	7	2084	1.0
000027_08	27	8	4929	1.0
000027_09	27	9	2082	1.0
000027_10	27	10	4936	1.0
000027_11	27	11	59037	1.0
000027_12	27	12	4941	1.0
000027_13	27	13	104241	1.0
000027_14	27	14	8617	1.0
000027_15	27	15	8614	1.0
000027_16	27	16	59258	1.0
000027_17	27	17	2059	1.0
000027_18	27	18	4958	1.0
000027_19	27	19	4961	1.0
000027_20	27	20	4962	1.0
000028_01	28	1	31433	1.0000000000000002
000028_02	28	2	74508	1.0000000000000002
000028_03	28	3	45732	1.0000000000000002
000028_04	28	4	7299	1.0
000028_05	28	5	6327	1.0
000028_06	28	6	6331	1.0
000028_07	28	7	6332	1.0
000028_08	28	8	6334	1.0
000028_09	28	9	6337	1.0
000028_10	28	10	6338	1.0
000028_11	28	11	6341	1.0
000028_12	28	12	1665	1.0
000028_13	28	13	6368	1.0
000028_14	28	14	6380	1.0
000028_15	28	15	6390	1.0
000028_16	28	16	1654	1.0
000028_17	28	17	1652	1.0
000028_18	28	18	6400	1.0
000028_19	28	19	1648	1.0
000028_20	28	20	6417	1.0
000029_01	29	1	7299	1.0000000000000002
000029_02	29	2	6001	1.0000000000000002
000029_03	29	3	4225	1.0000000000000002
000029_04	29	4	7486	1.0000000000000002
000029_05	29	5	5873	1.0000000000000002
000029_06	29	6	1950	1.0000000000000002
000029_07	29	7	68358	1.0000000000000002
000029_08	29	8	53123	1.0000000000000002
000029_09	29	9	5646	1.0000000000000002
000029_10	29	10	6868	1.0000000000000002
000029_11	29	11	3470	1.0000000000000002
000029_12	29	12	8275	1.0
000029_13	29	13	8477	1.0
000029_14	29	14	8482	1.0
000029_15	29	15	8512	1.0
000029_16	29	16	8518	1.0
000029_17	29	17	2107	1.0
000029_18	29	18	8521	1.0
000029_19	29	19	8530	1.0
000029_20	29	20	8534	1.0
000030_01	30	1	1279	1.0000000000000002
000030_02	30	2	1875	1.0000000000000002
000030_03	30	3	4034	1.0000000000000002
000030_04	30	4	3175	1.0000000000000002
000030_05	30	5	1234	1.0000000000000002
000030_06	30	6	1517	1.0000000000000002
000030_07	30	7	2971	1.0000000000000002
000030_08	30	8	1948	1.0000000000000002
000030_09	30	9	3160	1.0000000000000002
000030_10	30	10	555	1.0000000000000002
000030_11	30	11	1036	1.0000000000000002
000030_12	30	12	233	1.0000000000000002
000030_13	30	13	3363	1.0000000000000002
000030_14	30	14	2155	1.0000000000000002
000030_15	30	15	3176	1.0000000000000002
000030_16	30	16	1653	1.0000000000000002
000030_17	30	17	2194	1.0000000000000002
000030_18	30	18	800	1.0000000000000002
000030_19	30	19	6	1.0000000000000002
000030_20	30	20	1264	1.0000000000000002
000031_01	31	1	3873	1.0000000000000002
000031_02	31	2	2454	1.0000000000000002
000031_03	31	3	5046	1.0000000000000002
000031_04	31	4	64575	1.0000000000000002
000031_05	31	5	1703	1.0000000000000002
000031_06	31	6	458	1.0000000000000002
000031_07	31	7	378	1.0000000000000002
000031_08	31	8	460	1.0000000000000002
000031_09	31	9	952	1.0000000000000002
000031_10	31	10	258	1.0000000000000002
000031_11	31	11	981	1.0000000000000002
000031_12	31	12	50804	1.0000000000000002
000031_13	31	13	528	1.0000000000000002
000031_14	31	14	157865	1.0
000031_15	31	15	51084	1.0
000031_16	31	16	51086	1.0
000031_17	31	17	7047	1.0
000031_18	31	18	5853	1.0
000031_19	31	19	4670	1.0
000031_20	31	20	2844	1.0
000032_01	32	1	7789	1.0000000000000002
000032_02	32	2	645	1.0000000000000002
000032_03	32	3	3241	1.0000000000000002
000032_04	32	4	2185	1.0000000000000002
000032_05	32	5	4259	1.0000000000000002
000032_06	32	6	71304	1.0000000000000002
000032_07	32	7	4263	1.0000000000000002
000032_08	32	8	36850	1.0000000000000002
000032_09	32	9	3813	1.0000000000000002
000032_10	32	10	53022	1.0000000000000002
000032_11	32	11	7584	1.0000000000000002
000032_12	32	12	3350	1.0000000000000002
000032_13	32	13	6442	1.0000000000000002
000032_14	32	14	6918	1.0000000000000002
000032_15	32	15	1066	1.0000000000000002
000032_16	32	16	6981	1.0000000000000002
000032_17	32	17	39869	1.0000000000000002
000032_18	32	18	26471	1.0000000000000002
000032_19	32	19	927	1.0000000000000002
000032_20	32	20	58376	1.0000000000000002
000034_01	34	1	1406	1.0000000000000002
000034_02	34	2	111743	1.0000000000000002
000034_03	34	3	3046	1.0000000000000002
000034_04	34	4	2314	1.0000000000000002
000034_05	34	5	6254	1.0000000000000002
000034_06	34	6	2932	1.0000000000000002
000034_07	34	7	7720	1.0000000000000002
000034_08	34	8	1533	1.0000000000000002
000034_09	34	9	7743	1.0
000034_10	34	10	7584	1.0
000034_11	34	11	7812	1.0
000034_12	34	12	7615	1.0
000034_13	34	13	7624	1.0
000034_14	34	14	7647	1.0
000034_15	34	15	7698	1.0
000034_16	34	16	7702	1.0
000034_17	34	17	7789	1.0
000034_18	34	18	7705	1.0
000034_19	34	19	7772	1.0
000034_20	34	20	7766	1.0
000036_01	36	1	3810	1.0000000000000002
000036_02	36	2	4624	1.0000000000000002
000036_03	36	3	2971	1.0000000000000002
000036_04	36	4	4661	1.0000000000000002
000036_05	36	5	72641	1.0000000000000002
000036_06	36	6	2988	1.0000000000000002
000036_07	36	7	3262	1.0000000000000002
000036_08	36	8	8966	1.0000000000000002
000036_09	36	9	259	1.0000000000000002
000036_10	36	10	97	1.0000000000000002
000036_11	36	11	2932	1.0000000000000002
000036_12	36	12	2682	1.0000000000000002
000036_13	36	13	656	1.0000000000000002
000036_14	36	14	2917	1.0000000000000002
000036_15	36	15	5438	1.0000000000000002
000036_16	36	16	98809	1.0000000000000002
000036_17	36	17	5988	1.0000000000000002
000036_18	36	18	69640	1.0000000000000002
000036_19	36	19	4969	1.0
000036_20	36	20	7835	1.0
000038_01	38	1	2411	1.0000000000000002
000038_02	38	2	1689	1.0
000038_03	38	3	1363	1.0
000038_04	38	4	8955	1.0
000038_05	38	5	1359	1.0
000038_06	38	6	7223	1.0
000038_07	38	7	58803	1.0
000038_08	38	8	2795	1.0
000038_09	38	9	1348	1.0
000038_10	38	10	2798	1.0
000038_11	38	11	4855	1.0
000038_12	38	12	4860	1.0
000038_13	38	13	142448	1.0
000038_14	38	14	2802	1.0
000038_15	38	15	4866	1.0
000038_16	38	16	2806	1.0
000038_17	38	17	4873	1.0
000038_18	38	18	3821	1.0
000038_19	38	19	3827	1.0
000038_20	38	20	2787	1.0
000039_01	39	1	87192	1.0000000000000002
000039_02	39	2	6298	1.0000000000000002
000039_03	39	3	6060	1.0000000000000002
000039_04	39	4	387	1.0000000000000002
000039_05	39	5	96728	1.0000000000000002
000039_06	39	6	1395	1.0000000000000002
000039_07	39	7	2414	1.0000000000000002
000039_08	39	8	70521	1.0000000000000002
000039_09	39	9	175569	1.0000000000000002
000039_10	39	10	513	1.0000000000000002
000039_11	39	11	72733	1.0000000000000002
000039_12	39	12	5016	1.0000000000000002
000039_13	39	13	5039	1.0000000000000002
000039_14	39	14	7050	1.0000000000000002
000039_15	39	15	34326	1.0000000000000002
000039_16	39	16	3925	1.0000000000000002
000039_17	39	17	179817	1.0000000000000002
000039_18	39	18	3654	1.0000000000000002
000039_19	39	19	178061	1.0000000000000002
000039_20	39	20	106920	1.0000000000000002
000040_01	40	1	715	1.0
000040_02	40	2	6461	1.0
000040_03	40	3	736	1.0
000040_04	40	4	1258	1.0
000040_05	40	5	1356	1.0
000040_06	40	6	2599	1.0
000040_07	40	7	1059	1.0
000040_08	40	8	6365	1.0
000040_09	40	9	589	1.0
000040_10	40	10	5992	1.0
000040_11	40	11	62	1.0
000040_12	40	12	68	1.0
000040_13	40	13	6333	1.0
000040_14	40	14	116	1.0
000040_15	40	15	619	1.0
000040_16	40	16	626	1.0
000040_17	40	17	650	1.0
000040_18	40	18	1105	1.0
000040_19	40	19	2355	1.0
000040_20	40	20	1517	1.0
000041_01	41	1	2973	1.0000000000000002
000041_02	41	2	6774	1.0000000000000002
000041_03	41	3	3499	1.0000000000000002
000041_04	41	4	2541	1.0000000000000002
000041_05	41	5	2691	1.0000000000000002
000041_06	41	6	3521	1.0000000000000002
000041_07	41	7	707	1.0000000000000002
000041_08	41	8	6721	1.0000000000000002
000041_09	41	9	1845	1.0000000000000002
000041_10	41	10	229	1.0000000000000002
000041_11	41	11	533	1.0000000000000002
000041_12	41	12	1385	1.0000000000000002
000041_13	41	13	6290	1.0
000041_14	41	14	6288	1.0
