id	user_id	movie_id	rating	rated_at
00000000-0000-0000-0000-000000000001_000804	00000000-0000-0000-0000-000000000001	804	4	2000-07-31 03:08:19+09
00000000-0000-0000-0000-000000000001_000919	00000000-0000-0000-0000-000000000001	919	5	2000-07-31 03:41:15+09
00000000-0000-0000-0000-000000000001_000923	00000000-0000-0000-0000-000000000001	923	5	2000-07-31 03:25:29+09
00000000-0000-0000-0000-000000000001_000940	00000000-0000-0000-0000-000000000001	940	5	2000-07-31 03:36:16+09
00000000-0000-0000-0000-000000000001_000943	00000000-0000-0000-0000-000000000001	943	4	2000-07-31 04:00:14+09
00000000-0000-0000-0000-000000000001_000954	00000000-0000-0000-0000-000000000001	954	5	2000-07-31 03:53:39+09
00000000-0000-0000-0000-000000000001_001009	00000000-0000-0000-0000-000000000001	1009	3	2000-07-31 03:29:35+09
00000000-0000-0000-0000-000000000001_001023	00000000-0000-0000-0000-000000000001	1023	5	2000-07-31 03:44:41+09
00000000-0000-0000-0000-000000000001_001024	00000000-0000-0000-0000-000000000001	1024	5	2000-07-31 03:47:56+09
00000000-0000-0000-0000-000000000001_001025	00000000-0000-0000-0000-000000000001	1025	5	2000-07-31 03:46:31+09
00000000-0000-0000-0000-000000000001_001029	00000000-0000-0000-0000-000000000001	1029	5	2000-07-31 03:47:35+09
00000000-0000-0000-0000-000000000001_001030	00000000-0000-0000-0000-000000000001	1030	3	2000-07-31 03:48:23+09
00000000-0000-0000-0000-000000000001_001031	00000000-0000-0000-0000-000000000001	1031	5	2000-07-31 03:44:13+09
00000000-0000-0000-0000-000000000001_001032	00000000-0000-0000-0000-000000000001	1032	5	2000-07-31 03:46:31+09
00000000-0000-0000-0000-000000000001_001042	00000000-0000-0000-0000-000000000001	1042	4	2000-07-31 03:19:39+09
00000000-0000-0000-0000-000000000001_001049	00000000-0000-0000-0000-000000000001	1049	5	2000-07-31 03:40:00+09
00000000-0000-0000-0000-000000000001_001060	00000000-0000-0000-0000-000000000001	1060	4	2000-07-31 03:15:24+09
00000000-0000-0000-0000-000000000001_001073	00000000-0000-0000-0000-000000000001	1073	5	2000-07-31 03:28:00+09
00000000-0000-0000-0000-000000000001_001080	00000000-0000-0000-0000-000000000001	1080	5	2000-07-31 03:22:07+09
00000000-0000-0000-0000-000000000001_001089	00000000-0000-0000-0000-000000000001	1089	5	2000-07-31 03:49:11+09
00000000-0000-0000-0000-000000000001_001090	00000000-0000-0000-0000-000000000001	1090	4	2000-07-31 04:06:58+09
00000000-0000-0000-0000-000000000001_001092	00000000-0000-0000-0000-000000000001	1092	5	2000-07-31 03:58:04+09
00000000-0000-0000-0000-000000000001_001097	00000000-0000-0000-0000-000000000001	1097	5	2000-07-31 03:28:00+09
00000000-0000-0000-0000-000000000001_001127	00000000-0000-0000-0000-000000000001	1127	4	2000-07-31 03:41:53+09
00000000-0000-0000-0000-000000000001_001136	00000000-0000-0000-0000-000000000001	1136	5	2000-07-31 03:22:07+09
00000000-0000-0000-0000-000000000001_001196	00000000-0000-0000-0000-000000000001	1196	5	2000-07-31 03:30:27+09
00000000-0000-0000-0000-000000000001_001197	00000000-0000-0000-0000-000000000001	1197	5	2000-07-31 03:31:12+09
00000000-0000-0000-0000-000000000001_001198	00000000-0000-0000-0000-000000000001	1198	5	2000-07-31 03:30:27+09
00000000-0000-0000-0000-000000000001_001206	00000000-0000-0000-0000-000000000001	1206	5	2000-07-31 04:02:17+09
00000000-0000-0000-0000-000000000001_001208	00000000-0000-0000-0000-000000000001	1208	4	2000-07-31 03:54:10+09
00000000-0000-0000-0000-000000000001_001210	00000000-0000-0000-0000-000000000001	1210	5	2000-07-31 03:08:19+09
00000000-0000-0000-0000-000000000001_001213	00000000-0000-0000-0000-000000000001	1213	5	2000-07-31 03:49:11+09
00000000-0000-0000-0000-000000000001_001214	00000000-0000-0000-0000-000000000001	1214	4	2000-07-31 03:30:55+09
00000000-0000-0000-0000-000000000001_001219	00000000-0000-0000-0000-000000000001	1219	2	2000-07-31 03:56:33+09
00000000-0000-0000-0000-000000000001_001220	00000000-0000-0000-0000-000000000001	1220	5	2000-07-31 03:31:49+09
00000000-0000-0000-0000-000000000001_001222	00000000-0000-0000-0000-000000000001	1222	5	2000-07-31 03:31:49+09
00000000-0000-0000-0000-000000000001_001224	00000000-0000-0000-0000-000000000001	1224	5	2000-07-31 04:06:58+09
00000000-0000-0000-0000-000000000001_001226	00000000-0000-0000-0000-000000000001	1226	5	2000-07-31 04:00:18+09
00000000-0000-0000-0000-000000000001_001240	00000000-0000-0000-0000-000000000001	1240	5	2000-07-31 04:02:03+09
00000000-0000-0000-0000-000000000001_001256	00000000-0000-0000-0000-000000000001	1256	5	2000-07-31 03:24:02+09
00000000-0000-0000-0000-000000000001_001258	00000000-0000-0000-0000-000000000001	1258	3	2000-07-31 03:56:54+09
00000000-0000-0000-0000-000000000001_001265	00000000-0000-0000-0000-000000000001	1265	4	2000-07-31 03:59:59+09
00000000-0000-0000-0000-000000000001_001270	00000000-0000-0000-0000-000000000001	1270	5	2000-07-31 04:01:45+09
00000000-0000-0000-0000-000000000001_001275	00000000-0000-0000-0000-000000000001	1275	5	2000-07-31 03:38:10+09
00000000-0000-0000-0000-000000000001_001278	00000000-0000-0000-0000-000000000001	1278	5	2000-07-31 03:56:54+09
00000000-0000-0000-0000-000000000001_001282	00000000-0000-0000-0000-000000000001	1282	5	2000-07-31 03:45:03+09
00000000-0000-0000-0000-000000000001_001291	00000000-0000-0000-0000-000000000001	1291	5	2000-07-31 03:31:49+09
00000000-0000-0000-0000-000000000001_001298	00000000-0000-0000-0000-000000000001	1298	5	2000-07-31 04:08:06+09
00000000-0000-0000-0000-000000000001_001348	00000000-0000-0000-0000-000000000001	1348	4	2000-07-31 03:56:33+09
00000000-0000-0000-0000-000000000001_001377	00000000-0000-0000-0000-000000000001	1377	3	2000-07-31 03:44:13+09
00000000-0000-0000-0000-000000000001_001396	00000000-0000-0000-0000-000000000001	1396	3	2000-07-31 03:50:17+09
00000000-0000-0000-0000-000000000001_001408	00000000-0000-0000-0000-000000000001	1408	3	2000-07-31 03:38:30+09
00000000-0000-0000-0000-000000000001_001445	00000000-0000-0000-0000-000000000001	1445	3	2000-07-31 04:08:32+09
00000000-0000-0000-0000-000000000001_001473	00000000-0000-0000-0000-000000000001	1473	4	2000-07-31 03:14:35+09
00000000-0000-0000-0000-000000000001_001500	00000000-0000-0000-0000-000000000001	1500	4	2000-07-31 03:16:25+09
00000000-0000-0000-0000-000000000001_001517	00000000-0000-0000-0000-000000000001	1517	5	2000-07-31 03:18:27+09
00000000-0000-0000-0000-000000000001_001552	00000000-0000-0000-0000-000000000001	1552	4	2000-07-31 03:43:40+09
00000000-0000-0000-0000-000000000001_001573	00000000-0000-0000-0000-000000000001	1573	5	2000-07-31 03:38:10+09
00000000-0000-0000-0000-000000000001_001580	00000000-0000-0000-0000-000000000001	1580	3	2000-07-31 03:18:45+09
00000000-0000-0000-0000-000000000001_001587	00000000-0000-0000-0000-000000000001	1587	5	2000-07-31 03:39:06+09
00000000-0000-0000-0000-000000000001_001617	00000000-0000-0000-0000-000000000001	1617	5	2000-07-31 03:49:11+09
00000000-0000-0000-0000-000000000001_001620	00000000-0000-0000-0000-000000000001	1620	4	2000-07-31 03:50:56+09
00000000-0000-0000-0000-000000000001_001625	00000000-0000-0000-0000-000000000001	1625	5	2000-07-31 03:58:24+09
00000000-0000-0000-0000-000000000001_001644	00000000-0000-0000-0000-000000000001	1644	3	2000-07-31 03:58:56+09
00000000-0000-0000-0000-000000000001_001676	00000000-0000-0000-0000-000000000001	1676	3	2000-07-31 03:43:40+09
00000000-0000-0000-0000-000000000001_001732	00000000-0000-0000-0000-000000000001	1732	5	2000-07-31 03:18:45+09
00000000-0000-0000-0000-000000000001_001777	00000000-0000-0000-0000-000000000001	1777	4	2000-07-31 03:20:30+09
00000000-0000-0000-0000-000000000001_001793	00000000-0000-0000-0000-000000000001	1793	4	2000-07-31 03:23:24+09
00000000-0000-0000-0000-000000000001_001804	00000000-0000-0000-0000-000000000001	1804	5	2000-07-31 03:50:34+09
00000000-0000-0000-0000-000000000001_001805	00000000-0000-0000-0000-000000000001	1805	4	2000-07-31 03:50:56+09
00000000-0000-0000-0000-000000000001_001920	00000000-0000-0000-0000-000000000001	1920	4	2000-07-31 03:29:40+09
00000000-0000-0000-0000-000000000001_001927	00000000-0000-0000-0000-000000000001	1927	5	2000-07-31 03:24:57+09
00000000-0000-0000-0000-000000000001_001954	00000000-0000-0000-0000-000000000001	1954	5	2000-07-31 03:36:16+09
00000000-0000-0000-0000-000000000001_001967	00000000-0000-0000-0000-000000000001	1967	4	2000-07-31 03:28:30+09
00000000-0000-0000-0000-000000000001_002000	00000000-0000-0000-0000-000000000001	2000	4	2000-07-31 03:36:51+09
00000000-0000-0000-0000-000000000001_002005	00000000-0000-0000-0000-000000000001	2005	5	2000-07-31 03:28:30+09
00000000-0000-0000-0000-000000000001_002012	00000000-0000-0000-0000-000000000001	2012	4	2000-07-31 04:09:36+09
00000000-0000-0000-0000-000000000001_002018	00000000-0000-0000-0000-000000000001	2018	5	2000-07-31 03:08:43+09
00000000-0000-0000-0000-000000000001_002028	00000000-0000-0000-0000-000000000001	2028	4	2000-07-31 03:31:28+09
00000000-0000-0000-0000-000000000001_002033	00000000-0000-0000-0000-000000000001	2033	5	2000-07-31 03:48:23+09
00000000-0000-0000-0000-000000000001_002046	00000000-0000-0000-0000-000000000001	2046	4	2000-07-31 03:42:43+09
00000000-0000-0000-0000-000000000001_002048	00000000-0000-0000-0000-000000000001	2048	5	2000-07-31 03:46:31+09
00000000-0000-0000-0000-000000000001_002054	00000000-0000-0000-0000-000000000001	2054	4	2000-07-31 03:29:07+09
00000000-0000-0000-0000-000000000001_002058	00000000-0000-0000-0000-000000000001	2058	5	2000-07-31 03:40:00+09
00000000-0000-0000-0000-000000000001_002078	00000000-0000-0000-0000-000000000001	2078	5	2000-07-31 03:47:18+09
00000000-0000-0000-0000-000000000001_002090	00000000-0000-0000-0000-000000000001	2090	5	2000-07-31 03:47:18+09
00000000-0000-0000-0000-000000000001_002093	00000000-0000-0000-0000-000000000001	2093	3	2000-07-31 03:28:30+09
00000000-0000-0000-0000-000000000001_002094	00000000-0000-0000-0000-000000000001	2094	5	2000-07-31 03:44:13+09
00000000-0000-0000-0000-000000000001_002096	00000000-0000-0000-0000-000000000001	2096	4	2000-07-31 03:47:18+09
00000000-0000-0000-0000-000000000001_002099	00000000-0000-0000-0000-000000000001	2099	4	2000-07-31 03:43:08+09
00000000-0000-0000-0000-000000000001_002105	00000000-0000-0000-0000-000000000001	2105	4	2000-07-31 03:28:45+09
00000000-0000-0000-0000-000000000001_002115	00000000-0000-0000-0000-000000000001	2115	5	2000-07-31 03:42:09+09
00000000-0000-0000-0000-000000000001_002116	00000000-0000-0000-0000-000000000001	2116	5	2000-07-31 03:47:56+09
00000000-0000-0000-0000-000000000001_002137	00000000-0000-0000-0000-000000000001	2137	5	2000-07-31 03:46:31+09
00000000-0000-0000-0000-000000000001_002139	00000000-0000-0000-0000-000000000001	2139	5	2000-07-31 03:46:31+09
00000000-0000-0000-0000-000000000001_002141	00000000-0000-0000-0000-000000000001	2141	5	2000-07-31 03:47:18+09
00000000-0000-0000-0000-000000000001_002143	00000000-0000-0000-0000-000000000001	2143	4	2000-07-31 03:28:45+09
00000000-0000-0000-0000-000000000001_002161	00000000-0000-0000-0000-000000000001	2161	5	2000-07-31 03:28:30+09
00000000-0000-0000-0000-000000000001_002174	00000000-0000-0000-0000-000000000001	2174	4	2000-07-31 03:28:00+09
00000000-0000-0000-0000-000000000001_002193	00000000-0000-0000-0000-000000000001	2193	4	2000-07-31 03:28:30+09
00000000-0000-0000-0000-000000000001_002253	00000000-0000-0000-0000-000000000001	2253	2	2000-07-31 03:29:35+09
00000000-0000-0000-0000-000000000001_002268	00000000-0000-0000-0000-000000000001	2268	4	2000-07-31 03:49:49+09
00000000-0000-0000-0000-000000000001_002273	00000000-0000-0000-0000-000000000001	2273	4	2000-07-31 03:38:30+09
00000000-0000-0000-0000-000000000001_002291	00000000-0000-0000-0000-000000000001	2291	5	2000-07-31 04:01:04+09
00000000-0000-0000-0000-000000000001_002329	00000000-0000-0000-0000-000000000001	2329	5	2000-07-31 03:54:23+09
00000000-0000-0000-0000-000000000001_002338	00000000-0000-0000-0000-000000000001	2338	2	2000-07-31 03:59:06+09
00000000-0000-0000-0000-000000000001_002353	00000000-0000-0000-0000-000000000001	2353	5	2000-07-31 04:04:21+09
00000000-0000-0000-0000-000000000001_002366	00000000-0000-0000-0000-000000000001	2366	4	2000-07-31 03:41:02+09
00000000-0000-0000-0000-000000000001_002387	00000000-0000-0000-0000-000000000001	2387	5	2000-07-31 03:52:03+09
00000000-0000-0000-0000-000000000001_002389	00000000-0000-0000-0000-000000000001	2389	2	2000-07-31 03:51:34+09
00000000-0000-0000-0000-000000000001_002395	00000000-0000-0000-0000-000000000001	2395	5	2000-07-31 03:18:13+09
00000000-0000-0000-0000-000000000001_002406	00000000-0000-0000-0000-000000000001	2406	4	2000-07-31 03:38:30+09
00000000-0000-0000-0000-000000000001_002414	00000000-0000-0000-0000-000000000001	2414	3	2000-07-31 03:41:53+09
00000000-0000-0000-0000-000000000001_002427	00000000-0000-0000-0000-000000000001	2427	5	2000-07-31 03:37:22+09
00000000-0000-0000-0000-000000000001_002450	00000000-0000-0000-0000-000000000001	2450	4	2000-07-31 03:43:40+09
00000000-0000-0000-0000-000000000001_002459	00000000-0000-0000-0000-000000000001	2459	5	2000-07-31 03:56:54+09
00000000-0000-0000-0000-000000000001_002470	00000000-0000-0000-0000-000000000001	2470	5	2000-07-31 03:43:08+09
00000000-0000-0000-0000-000000000001_002478	00000000-0000-0000-0000-000000000001	2478	4	2000-07-31 04:09:29+09
00000000-0000-0000-0000-000000000001_002492	00000000-0000-0000-0000-000000000001	2492	4	2000-08-08 16:27:42+09
00000000-0000-0000-0000-000000000001_002502	00000000-0000-0000-0000-000000000001	2502	5	2000-07-31 03:21:18+09
00000000-0000-0000-0000-000000000001_002528	00000000-0000-0000-0000-000000000001	2528	3	2000-07-31 03:38:48+09
00000000-0000-0000-0000-000000000001_002529	00000000-0000-0000-0000-000000000001	2529	5	2000-07-31 03:37:22+09
00000000-0000-0000-0000-000000000001_002542	00000000-0000-0000-0000-000000000001	2542	5	2000-07-31 03:21:05+09
00000000-0000-0000-0000-000000000001_002571	00000000-0000-0000-0000-000000000001	2571	5	2000-07-31 03:31:28+09
00000000-0000-0000-0000-000000000001_002580	00000000-0000-0000-0000-000000000001	2580	5	2000-07-31 03:50:00+09
00000000-0000-0000-0000-000000000001_002596	00000000-0000-0000-0000-000000000001	2596	5	2000-07-31 03:19:04+09
00000000-0000-0000-0000-000000000001_002616	00000000-0000-0000-0000-000000000001	2616	4	2000-07-31 03:51:20+09
00000000-0000-0000-0000-000000000001_002617	00000000-0000-0000-0000-000000000001	2617	2	2000-07-31 03:43:08+09
00000000-0000-0000-0000-000000000001_002628	00000000-0000-0000-0000-000000000001	2628	4	2000-07-31 03:08:43+09
00000000-0000-0000-0000-000000000001_002640	00000000-0000-0000-0000-000000000001	2640	4	2000-07-31 03:39:37+09
00000000-0000-0000-0000-000000000001_002641	00000000-0000-0000-0000-000000000001	2641	5	2000-07-31 03:43:40+09
00000000-0000-0000-0000-000000000001_002644	00000000-0000-0000-0000-000000000001	2644	4	2000-07-31 03:56:33+09
00000000-0000-0000-0000-000000000001_002648	00000000-0000-0000-0000-000000000001	2648	4	2000-07-31 03:56:54+09
00000000-0000-0000-0000-000000000001_002654	00000000-0000-0000-0000-000000000001	2654	5	2000-07-31 03:56:33+09
00000000-0000-0000-0000-000000000001_002657	00000000-0000-0000-0000-000000000001	2657	3	2000-07-31 03:57:06+09
00000000-0000-0000-0000-000000000001_002692	00000000-0000-0000-0000-000000000001	2692	5	2000-07-31 03:30:55+09
00000000-0000-0000-0000-000000000001_002700	00000000-0000-0000-0000-000000000001	2700	5	2000-07-31 03:16:25+09
00000000-0000-0000-0000-000000000001_002716	00000000-0000-0000-0000-000000000001	2716	5	2000-07-31 03:56:54+09
00000000-0000-0000-0000-000000000001_002761	00000000-0000-0000-0000-000000000001	2761	5	2000-07-31 03:45:03+09
00000000-0000-0000-0000-000000000001_002797	00000000-0000-0000-0000-000000000001	2797	4	2000-07-31 03:28:30+09
00000000-0000-0000-0000-000000000001_002826	00000000-0000-0000-0000-000000000001	2826	4	2000-07-31 03:08:43+09
00000000-0000-0000-0000-000000000001_002858	00000000-0000-0000-0000-000000000001	2858	5	2000-07-31 03:14:28+09
00000000-0000-0000-0000-000000000001_002872	00000000-0000-0000-0000-000000000001	2872	5	2000-07-31 03:28:00+09
00000000-0000-0000-0000-000000000001_002899	00000000-0000-0000-0000-000000000001	2899	5	2000-07-31 03:45:03+09
00000000-0000-0000-0000-000000000001_002916	00000000-0000-0000-0000-000000000001	2916	4	2000-07-31 03:38:10+09
00000000-0000-0000-0000-000000000001_002944	00000000-0000-0000-0000-000000000001	2944	5	2000-07-31 03:31:12+09
00000000-0000-0000-0000-000000000001_002947	00000000-0000-0000-0000-000000000001	2947	5	2000-07-31 03:36:16+09
00000000-0000-0000-0000-000000000001_002948	00000000-0000-0000-0000-000000000001	2948	5	2000-07-31 03:36:31+09
00000000-0000-0000-0000-000000000001_002949	00000000-0000-0000-0000-000000000001	2949	5	2000-07-31 03:31:28+09
00000000-0000-0000-0000-000000000001_002959	00000000-0000-0000-0000-000000000001	2959	5	2000-07-31 03:54:42+09
00000000-0000-0000-0000-000000000001_002985	00000000-0000-0000-0000-000000000001	2985	4	2000-07-31 03:50:34+09
00000000-0000-0000-0000-000000000001_002987	00000000-0000-0000-0000-000000000001	2987	5	2000-07-31 03:41:35+09
00000000-0000-0000-0000-000000000001_002991	00000000-0000-0000-0000-000000000001	2991	5	2000-07-31 03:37:51+09
00000000-0000-0000-0000-000000000001_002993	00000000-0000-0000-0000-000000000001	2993	5	2000-07-31 03:37:22+09
00000000-0000-0000-0000-000000000001_002997	00000000-0000-0000-0000-000000000001	2997	4	2000-07-31 03:14:56+09
00000000-0000-0000-0000-000000000001_003033	00000000-0000-0000-0000-000000000001	3033	5	2000-07-31 04:02:42+09
00000000-0000-0000-0000-000000000001_003034	00000000-0000-0000-0000-000000000001	3034	5	2000-07-31 03:46:31+09
00000000-0000-0000-0000-000000000001_003052	00000000-0000-0000-0000-000000000001	3052	5	2000-07-31 03:20:08+09
00000000-0000-0000-0000-000000000001_003053	00000000-0000-0000-0000-000000000001	3053	5	2000-07-31 04:08:06+09
00000000-0000-0000-0000-000000000001_003062	00000000-0000-0000-0000-000000000001	3062	4	2000-07-31 03:31:12+09
00000000-0000-0000-0000-000000000001_003147	00000000-0000-0000-0000-000000000001	3147	5	2000-07-31 04:04:33+09
00000000-0000-0000-0000-000000000001_003168	00000000-0000-0000-0000-000000000001	3168	4	2000-07-31 03:41:35+09
00000000-0000-0000-0000-000000000001_003176	00000000-0000-0000-0000-000000000001	3176	1	2000-07-31 03:58:24+09
00000000-0000-0000-0000-000000000001_003243	00000000-0000-0000-0000-000000000001	3243	3	2000-07-31 03:18:13+09
00000000-0000-0000-0000-000000000001_003247	00000000-0000-0000-0000-000000000001	3247	3	2000-07-31 03:51:48+09
00000000-0000-0000-0000-000000000001_003253	00000000-0000-0000-0000-000000000001	3253	5	2000-07-31 03:18:27+09
00000000-0000-0000-0000-000000000001_003273	00000000-0000-0000-0000-000000000001	3273	5	2000-07-31 03:58:56+09
00000000-0000-0000-0000-000000000001_003386	00000000-0000-0000-0000-000000000001	3386	5	2000-07-31 03:58:04+09
00000000-0000-0000-0000-000000000001_003439	00000000-0000-0000-0000-000000000001	3439	4	2000-07-31 03:29:59+09
00000000-0000-0000-0000-000000000001_003440	00000000-0000-0000-0000-000000000001	3440	4	2000-07-31 03:29:59+09
00000000-0000-0000-0000-000000000001_003441	00000000-0000-0000-0000-000000000001	3441	5	2000-07-31 03:38:48+09
00000000-0000-0000-0000-000000000001_003448	00000000-0000-0000-0000-000000000001	3448	5	2000-07-31 04:07:34+09
00000000-0000-0000-0000-000000000001_003450	00000000-0000-0000-0000-000000000001	3450	5	2000-07-31 03:19:04+09
00000000-0000-0000-0000-000000000001_003479	00000000-0000-0000-0000-000000000001	3479	4	2000-07-31 03:28:45+09
00000000-0000-0000-0000-000000000001_003489	00000000-0000-0000-0000-000000000001	3489	4	2000-07-31 03:29:35+09
00000000-0000-0000-0000-000000000001_003527	00000000-0000-0000-0000-000000000001	3527	4	2000-07-31 03:37:51+09
00000000-0000-0000-0000-000000000001_003578	00000000-0000-0000-0000-000000000001	3578	5	2000-07-31 03:11:08+09
00000000-0000-0000-0000-000000000001_003617	00000000-0000-0000-0000-000000000001	3617	4	2000-07-31 03:11:23+09
00000000-0000-0000-0000-000000000001_003639	00000000-0000-0000-0000-000000000001	3639	4	2000-07-31 03:37:51+09
00000000-0000-0000-0000-000000000001_003671	00000000-0000-0000-0000-000000000001	3671	5	2000-07-31 03:26:29+09
00000000-0000-0000-0000-000000000001_003702	00000000-0000-0000-0000-000000000001	3702	5	2000-07-31 04:02:17+09
00000000-0000-0000-0000-000000000001_003703	00000000-0000-0000-0000-000000000001	3703	5	2000-07-31 03:31:49+09
00000000-0000-0000-0000-000000000001_003729	00000000-0000-0000-0000-000000000001	3729	5	2000-07-31 03:39:23+09
00000000-0000-0000-0000-000000000001_003740	00000000-0000-0000-0000-000000000001	3740	4	2000-07-31 03:40:17+09
00000000-0000-0000-0000-000000000001_003744	00000000-0000-0000-0000-000000000001	3744	4	2000-07-31 03:11:34+09
00000000-0000-0000-0000-000000000001_003793	00000000-0000-0000-0000-000000000001	3793	5	2000-07-31 03:30:55+09
00000000-0000-0000-0000-000000000001_003809	00000000-0000-0000-0000-000000000001	3809	4	2000-07-31 03:20:20+09
00000000-0000-0000-0000-000000000001_004006	00000000-0000-0000-0000-000000000001	4006	4	2000-07-31 03:48:23+09
00000000-0000-0000-0000-000000000001_005060	00000000-0000-0000-0000-000000000001	5060	5	2000-07-31 04:06:42+09
00000000-0000-0000-0000-000000000002_000318	00000000-0000-0000-0000-000000000002	318	3	2015-10-25 04:27:15+09
00000000-0000-0000-0000-000000000002_000333	00000000-0000-0000-0000-000000000002	333	4	2015-10-25 04:30:29+09
00000000-0000-0000-0000-000000000002_001704	00000000-0000-0000-0000-000000000002	1704	4.5	2015-10-25 04:33:48+09
00000000-0000-0000-0000-000000000002_003578	00000000-0000-0000-0000-000000000002	3578	4	2015-10-25 04:28:05+09
00000000-0000-0000-0000-000000000002_006874	00000000-0000-0000-0000-000000000002	6874	4	2015-10-25 04:29:12+09
